Customer ID,Age,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Gender_Female,Gender_Male,City_Chicago,City_Houston,City_Los Angeles,City_Miami,City_New York,City_San Francisco,Membership Type_Bronze,Membership Type_Gold,Membership Type_Silver,Satisfaction Level_Neutral,Satisfaction Level_Satisfied,Satisfaction Level_Unsatisfied,recency,churned
101,29,1120.2,14,4.6,True,25,True,False,False,False,False,False,True,False,False,True,False,False,True,False,25,0
102,34,780.5,11,4.1,False,18,False,True,False,False,True,False,False,False,False,False,True,True,False,False,18,0
103,43,510.75,9,3.4,True,42,True,False,True,False,False,False,False,False,True,False,False,False,False,True,42,1
104,30,1480.3,19,4.7,False,12,False,True,False,False,False,False,False,True,False,True,False,False,True,False,12,0
105,27,720.4,13,4.0,True,65,False,True,False,False,False,True,False,False,False,False,True,False,False,True,65,1
106,37,440.8,8,3.1,False,22,True,False,False,True,False,False,False,False,True,False,False,True,False,False,22,0
107,31,1150.6,15,4.5,True,28,True,False,False,False,False,False,True,False,False,True,False,False,True,False,28,0
108,35,800.9,12,4.2,False,14,False,True,False,False,True,False,False,False,False,False,True,True,False,False,14,0
109,41,495.25,10,3.6,True,40,True,False,True,False,False,False,False,False,True,False,False,False,False,True,40,1
110,28,1520.1,21,4.8,False,9,False,True,False,False,False,False,False,True,False,True,False,False,True,False,9,0
111,32,690.3,11,3.8,True,34,False,True,False,False,False,True,False,False,False,False,True,False,False,True,34,1
112,36,470.5,7,3.2,False,20,True,False,False,True,False,False,False,False,True,False,False,True,False,False,20,0
113,30,1200.8,16,4.3,True,21,True,False,False,False,False,False,True,False,False,True,False,False,True,False,21,0
114,33,820.75,13,4.4,False,15,False,True,False,False,True,False,False,False,False,False,True,False,True,False,15,0
115,42,530.4,9,3.5,True,38,True,False,True,False,False,False,False,False,True,False,False,False,False,True,38,1
116,29,1360.2,18,4.9,False,11,False,True,False,False,False,False,False,True,False,True,False,False,True,False,11,0
117,26,700.6,12,3.7,True,48,False,True,False,False,False,True,False,False,False,False,True,False,False,True,48,1
118,38,450.9,8,3.0,False,25,True,False,False,True,False,False,False,False,True,False,False,True,False,False,25,0
119,32,1170.3,14,4.7,True,29,True,False,False,False,False,False,True,False,False,True,False,False,True,False,29,0
120,34,790.2,11,4.0,False,16,False,True,False,False,True,False,False,False,False,False,True,True,False,False,16,0
121,43,505.75,10,3.3,True,65,True,False,True,False,False,False,False,False,True,False,False,False,False,True,65,1
122,30,1470.5,20,4.8,False,13,False,True,False,False,False,False,False,True,False,True,False,False,True,False,13,0
123,27,710.4,13,4.1,True,54,False,True,False,False,False,True,False,False,False,False,True,False,False,True,54,1
124,37,430.8,7,3.4,False,23,True,False,False,True,False,False,False,False,True,False,False,True,False,False,23,0
125,31,1140.6,15,4.6,True,27,True,False,False,False,False,False,True,False,False,True,False,False,True,False,27,0
126,35,810.9,12,4.3,False,13,False,True,False,False,True,False,False,False,False,False,True,True,False,False,13,0
127,41,485.25,9,3.6,True,65,True,False,True,False,False,False,False,False,True,False,False,False,False,True,65,1
128,28,1500.1,21,4.9,False,10,False,True,False,False,False,False,False,True,False,True,False,False,True,False,10,0
129,32,670.3,10,3.8,True,33,False,True,False,False,False,True,False,False,False,False,True,False,False,True,33,1
130,36,460.5,8,3.1,False,19,True,False,False,True,False,False,False,False,True,False,False,True,False,False,19,0
131,30,1190.8,16,4.5,True,20,True,False,False,False,False,False,True,False,False,True,False,False,True,False,20,0
132,33,830.75,13,4.2,False,65,False,True,False,False,True,False,False,False,False,False,True,False,True,False,65,1
133,42,520.4,9,3.5,True,65,True,False,True,False,False,False,False,False,True,False,False,False,False,True,65,1
134,29,1370.2,18,4.7,False,10,False,True,False,False,False,False,False,True,False,True,False,False,True,False,10,0
135,26,690.6,12,3.9,True,47,False,True,False,False,False,True,False,False,False,False,True,False,False,True,47,1
136,38,440.9,8,3.2,False,24,True,False,False,True,False,False,False,False,True,False,False,True,False,False,24,0
